"Antal lägenheter efter region, upplåtelseform och år"

"region","upplåtelseform","2022"
"0123C1300","äganderätt",549
"0123C1300","uppgift saknas",0
"0123C1310","hyresrätt",19
"0123C1310","bostadsrätt",82
"0123C1310","äganderätt",419
"0123C1310","uppgift saknas",0
"0123C1320","hyresrätt",53
"0123C1320","bostadsrätt",346
"0123C1320","äganderätt",551
"0123C1320","uppgift saknas",0
"0123C1330","hyresrätt",7
"0123C1330","bostadsrätt",935
"0123C1330","äganderätt",102
"0123C1330","uppgift saknas",0
"0123C1340","hyresrätt",12
"0123C1340","bostadsrätt",1010
"0123C1340","äganderätt",132
"0123C1340","uppgift saknas",0
"0123C1350","hyresrätt",105
"0123C1350","bostadsrätt",1264
"0123C1350","äganderätt",0
"0123C1350","uppgift saknas",0
"0123C1360","hyresrätt",119
"0123C1360","bostadsrätt",1204
"0123C1360","äganderätt",83
"0123C1360","uppgift saknas",0
"0123C1370","hyresrätt",568
"0123C1370","bostadsrätt",151
"0123C1370","äganderätt",0
"0123C1370","uppgift saknas",0
"0123C1380","hyresrätt",21
"0123C1380","bostadsrätt",267
"0123C1380","äganderätt",137
"0123C1380","uppgift saknas",0
"0123C1390","hyresrätt",340
"0123C1390","bostadsrätt",319
"0123C1390","äganderätt",211
"0123C1390","uppgift saknas",0
"0123C1400","hyresrätt",62
"0123C1400","bostadsrätt",51
"0123C1400","äganderätt",710
"0123C1400","uppgift saknas",0
"0125A0010","hyresrätt",143
"0125A0010","bostadsrätt",41
"0125A0010","äganderätt",194
"0125A0010","uppgift saknas",0
"0125A0020","hyresrätt",33
"0125A0020","bostadsrätt",25
"0125A0020","äganderätt",550
"0125A0020","uppgift saknas",0
"0125A0030","hyresrätt",42
"0125A0030","bostadsrätt",12
"0125A0030","äganderätt",286
"0125A0030","uppgift saknas",0
"0125A0040","hyresrätt",63
"0125A0040","bostadsrätt",20
"0125A0040","äganderätt",663
"0125A0040","uppgift saknas",0
"0125B2010","hyresrätt",17
"0125B2010","bostadsrätt",7
"0125B2010","äganderätt",448
"0125B2010","uppgift saknas",0
"0125B2020","hyresrätt",266
"0125B2020","bostadsrätt",113
"0125B2020","äganderätt",602
"0125B2020","uppgift saknas",0
"0125B2030","hyresrätt",5
"0125B2030","bostadsrätt",0
"0125B2030","äganderätt",426
"0125B2030","uppgift saknas",0
"0125B3010","hyresrätt",50
"0125B3010","bostadsrätt",22
"0125B3010","äganderätt",262
"0125B3010","uppgift saknas",0
"0125B3020","hyresrätt",14
"0125B3020","bostadsrätt",30
"0125B3020","äganderätt",459
"0125B3020","uppgift saknas",0
"0125C1010","hyresrätt",8
"0125C1010","bostadsrätt",0
"0125C1010","äganderätt",502
"0125C1010","uppgift saknas",0
"0125C1020","hyresrätt",3
"0125C1020","bostadsrätt",108
"0125C1020","äganderätt",358
"0125C1020","uppgift saknas",0
"0125C1030","hyresrätt",3
"0125C1030","bostadsrätt",16
"0125C1030","äganderätt",742
"0125C1030","uppgift saknas",0
"0125C1040","hyresrätt",266
"0125C1040","bostadsrätt",411
"0125C1040","äganderätt",368
"0125C1040","uppgift saknas",0
"0125C1050","hyresrätt",39
"0125C1050","bostadsrätt",0
"0125C1050","äganderätt",512
"0125C1050","uppgift saknas",0
"0125C1060","hyresrätt",295
"0125C1060","bostadsrätt",231
"0125C1060","äganderätt",291
"0125C1060","uppgift saknas",0
"0125C1070","hyresrätt",105
"0125C1070","bostadsrätt",149
"0125C1070","äganderätt",482
"0125C1070","uppgift saknas",0
"0125C1080","hyresrätt",246
"0125C1080","bostadsrätt",136
"0125C1080","äganderätt",621
"0125C1080","uppgift saknas",0
"0126A0010","hyresrätt",38
"0126A0010","bostadsrätt",17
"0126A0010","äganderätt",617
"0126A0010","uppgift saknas",0
"0126C1010","hyresrätt",86
"0126C1010","bostadsrätt",81
"0126C1010","äganderätt",618
"0126C1010","uppgift saknas",0
"0126C1020","hyresrätt",1212
"0126C1020","bostadsrätt",497
"0126C1020","äganderätt",1
"0126C1020","uppgift saknas",0
"0126C1030","hyresrätt",945
"0126C1030","bostadsrätt",0
"0126C1030","äganderätt",0
"0126C1030","uppgift saknas",0
"0126C1040","hyresrätt",30
"0126C1040","bostadsrätt",146
"0126C1040","äganderätt",496
"0126C1040","uppgift saknas",0
"0126C1050","hyresrätt",17
"0126C1050","bostadsrätt",6
"0126C1050","äganderätt",644
"0126C1050","uppgift saknas",0
"0126C1060","hyresrätt",466
"0126C1060","bostadsrätt",303
"0126C1060","äganderätt",0
"0126C1060","uppgift saknas",0
"0126C1070","hyresrätt",0
"0126C1070","bostadsrätt",561
"0126C1070","äganderätt",0
"0126C1070","uppgift saknas",0
"0126C1080","hyresrätt",1763
"0126C1080","bostadsrätt",0
"0126C1080","äganderätt",3
"0126C1080","uppgift saknas",0
"0126C1090","hyresrätt",391
"0126C1090","bostadsrätt",208
"0126C1090","äganderätt",0
"0126C1090","uppgift saknas",0
"0126C1100","hyresrätt",78
"0126C1100","bostadsrätt",191
"0126C1100","äganderätt",383
"0126C1100","uppgift saknas",0
"0126C1110","hyresrätt",0
"0126C1110","bostadsrätt",971
"0126C1110","äganderätt",0
"0126C1110","uppgift saknas",0
"0126C1120","hyresrätt",1
"0126C1120","bostadsrätt",171
"0126C1120","äganderätt",497
"0126C1120","uppgift saknas",0
"0126C1130","hyresrätt",953
"0126C1130","bostadsrätt",0
"0126C1130","äganderätt",0
"0126C1130","uppgift saknas",0
"0126C1140","hyresrätt",729
"0126C1140","bostadsrätt",0
"0126C1140","äganderätt",0
"0126C1140","uppgift saknas",0
"0126C1150","hyresrätt",2
"0126C1150","bostadsrätt",0
"0126C1150","äganderätt",404
"0126C1150","uppgift saknas",0
"0126C1160","hyresrätt",325
"0126C1160","bostadsrätt",639
"0126C1160","äganderätt",0
"0126C1160","uppgift saknas",0
"0126C1170","hyresrätt",15
"0126C1170","bostadsrätt",273
"0126C1170","äganderätt",417
"0126C1170","uppgift saknas",0
"0126C1180","hyresrätt",69
"0126C1180","bostadsrätt",211
"0126C1180","äganderätt",244
"0126C1180","uppgift saknas",0
"0126C1190","hyresrätt",15
"0126C1190","bostadsrätt",880
"0126C1190","äganderätt",482
"0126C1190","uppgift saknas",0
"0126C1200","hyresrätt",5
"0126C1200","bostadsrätt",135
"0126C1200","äganderätt",633
"0126C1200","uppgift saknas",0
"0126C1210","hyresrätt",106
"0126C1210","bostadsrätt",80
"0126C1210","äganderätt",490
"0126C1210","uppgift saknas",0
